Date,Stage,Stage Length,Daily Degree Days,Stage Sum Degree Days,Total Degree Days
1979-10-21,Seeding,1,8.3,8.3,8.3
1979-10-22,Seeding,2,7.7,16.0,16.0
1979-10-23,Seeding,3,6.800000000000001,22.8,22.8
1979-10-24,Seeding,4,6.85,29.65,29.65
1979-10-25,Seeding,5,9.249999999999998,38.9,38.9
1979-10-26,Seeding,6,9.15,48.05,48.05
1979-10-27,Seeding,7,6.1499999999999995,54.199999999999996,54.199999999999996
1979-10-28,Seeding,8,4.1000000000000005,58.3,58.3
1979-10-29,Seeding,9,6.000000000000001,64.3,64.3
1979-10-30,Seeding,10,5.8999999999999995,70.2,70.2
1979-10-31,Seeding,11,8.850000000000001,79.05000000000001,79.05000000000001
1979-11-01,Seeding,12,7.25,86.30000000000001,86.30000000000001
1979-11-02,Seeding,13,5.600000000000001,91.9,91.9
1979-11-03,Seeding,14,8.5,100.4,100.4
1979-11-04,Seeding,15,10.5,110.9,110.9
1979-11-05,Seeding,16,7.000000000000001,117.9,117.9
1979-11-06,Seeding,17,8.150000000000002,126.05000000000001,126.05000000000001
1979-11-07,Seeding,18,8.049999999999999,134.10000000000002,134.10000000000002
1979-11-08,Seeding,19,4.050000000000001,138.15000000000003,138.15000000000003
1979-11-09,Seeding,20,3.4,141.55000000000004,141.55000000000004
1979-11-10,Seeding,21,2.8,144.35000000000005,144.35000000000005
1979-11-11,Seeding,22,3.7000000000000006,148.05000000000004,148.05000000000004
1979-11-12,Emergence,1,0.760098748903333,0.760098748903333,148.81009874890339
1979-11-13,Emergence,2,0.3750918319321428,1.1351905808354759,149.18519058083552
1979-11-14,Emergence,3,0.3961672830416787,1.5313578638771546,149.5813578638772
1979-11-15,Emergence,4,0.7954011938098661,2.3267590576870205,150.37675905768708
1979-11-16,Emergence,5,0.6738264121944882,3.000585469881509,151.05058546988158
1979-11-17,Emergence,6,0.896027575244195,3.896613045125704,151.9466130451258
1979-11-18,Emergence,7,1.3924240100851464,5.2890370552108505,153.33903705521092
1979-11-19,Emergence,8,1.9367527095893693,7.22578976480022,155.2757897648003
1979-11-20,Emergence,9,0.75116013449724,7.97694989929746,156.02694989929753
1979-11-21,Emergence,10,1.1505610209291206,9.12751092022658,157.17751092022667
1979-11-22,Emergence,11,1.492901093346652,10.620412013573233,158.67041201357333
1979-11-23,Emergence,12,2.842911305870437,13.46332331944367,161.51332331944377
1979-11-24,Emergence,13,1.3786549398603252,14.841978259303996,162.8919782593041
1979-11-25,Emergence,14,2.5368759493183295,17.378854208622325,165.42885420862243
1979-11-26,Emergence,15,4.172581084463539,21.551435293085866,169.60143529308596
1979-11-27,Emergence,16,3.9445944863318316,25.496029779417697,173.54602977941778
1979-11-28,Emergence,17,4.073797748515162,29.56982752793286,177.61982752793296
1979-11-29,Emergence,18,2.8804371427422715,32.45026467067513,180.50026467067522
1979-11-30,Emergence,19,3.648465357854119,36.09873002852925,184.14873002852934
1979-12-01,Emergence,20,4.435823468361677,40.53455349689093,188.58455349689103
1979-12-02,Emergence,21,4.1660249613475795,44.70057845823851,192.7505784582386
1979-12-03,Emergence,22,3.6881226388673003,48.38870109710581,196.4387010971059
1979-12-04,Emergence,23,3.818536549803773,52.20723764690958,200.2572376469097
1979-12-05,Emergence,24,4.5992071079319174,56.8064447548415,204.85644475484162
1979-12-06,Emergence,25,4.194905740788997,61.0013504956305,209.05135049563063
1979-12-07,Emergence,26,4.2323643423431525,65.23371483797365,213.28371483797378
1979-12-08,Emergence,27,4.08561313919739,69.31932797717104,217.36932797717117
1979-12-09,Emergence,28,3.8017607589945754,73.12108873616562,221.17108873616576
1979-12-10,Emergence,29,3.2894225572133218,76.41051129337895,224.46051129337908
1979-12-11,Emergence,30,2.2738852131847844,78.68439650656373,226.73439650656388
1979-12-12,Emergence,31,1.9497091222125869,80.63410562877631,228.68410562877648
1979-12-13,Emergence,32,1.9932252263279446,82.62733085510426,230.67733085510443
1979-12-14,Emergence,33,2.059848419974676,84.68717927507893,232.73717927507911
1979-12-15,Emergence,34,2.0809412788600867,86.76812055393901,234.8181205539392
1979-12-16,Emergence,35,2.0794864654586203,88.84760701939763,236.8976070193978
